#SampleID	Var	ControlVar
82S3MAZ4.518145	Tumor	1457:82S3M
C0252.N.518016	Healthy	1457:C0252
XZ33PA3O.518135	Tumor	1457:XZ33P
C0186.N.518143	Healthy	1457:C0186
82S3MNBY.518050	Healthy	1457:82S3M
C0318.T.518140	Tumor	1457:C0318
5EKFONB3.518125	Healthy	1457:5EKFO
C0355.N.518077	Healthy	1457:C0355
C0332.T.518017	Tumor	1457:C0332
MQETMNL4.518037	Healthy	1457:MQETM
LRQ9WAHA.518036	Tumor	1457:LRQ9W
C0362.N.518069	Healthy	1457:C0362
C0362.T.518026	Tumor	1457:C0362
C0294.T.518134	Tumor	1457:C0294
C0133.N.518051	Healthy	1457:C0133
C0388.T.518015	Tumor	1457:C0388
C0198.N.518081	Healthy	1457:C0198
JIDZEN4J.518073	Healthy	1457:JIDZE
HZIMMNL5.518062	Healthy	1457:HZIMM
C0149.N.518039	Healthy	1457:C0149
C0308.N.518154	Healthy	1457:C0308
C0159.N.518042	Healthy	1457:C0159
C0318.N.518105	Healthy	1457:C0318
HZIMMAM6.518095	Tumor	1457:HZIMM
C0095.T.518141	Tumor	1457:C0095
GQ6LSABJ.518010	Tumor	1457:GQ6LS
C0341.T.518113	Tumor	1457:C0341
C0211.T.518096	Tumor	1457:C0211
C0095.N.518123	Healthy	1457:C0095
C0149.T.518132	Tumor	1457:C0149
C0344.T.518029	Tumor	1457:C0344
G3UBQNDP.518121	Healthy	1457:G3UBQ
C0212.T.518155	Tumor	1457:C0212
C0198.T.518166	Tumor	1457:C0198
C0325.N.518109	Healthy	1457:C0325
MQETMAZC.518171	Tumor	1457:MQETM
C0342.N.518068	Healthy	1457:C0342
C0225.T.518033	Tumor	1457:C0225
A8A34AP9.518086	Tumor	1457:A8A34
C0330.T.518035	Tumor	1457:C0330
TV28IANZ.518070	Tumor	1457:TV28I
32I9UNA9.518098	Healthy	1457:32I9U
G3UBQAJU.518060	Tumor	1457:G3UBQ
C0212.N.518167	Healthy	1457:C0212
C0306.N.518003	Healthy	1457:C0306
C0378.T.518104	Tumor	1457:C0378
38U4VNBW.518090	Healthy	1457:38U4V
38U4VAHB.518100	Tumor	1457:38U4V
QFHRSAG2.518005	Tumor	1457:QFHRS
C0330.N.518148	Healthy	1457:C0330
C0240.T.518052	Tumor	1457:C0240
YOTV6NC8.518156	Healthy	1457:YOTV6
C0268.T.518114	Tumor	1457:C0268
C0209.T.518128	Tumor	1457:C0209
C6.S.518082	Healthy	1457:C6
C0133.T.518133	Tumor	1457:C0133
O436FAO8.518097	Tumor	1457:O436F
32I9UAPQ.518112	Tumor	1457:32I9U
MQE9OAS7.518008	Tumor	1457:MQE9O
XZ33PN7O.518030	Healthy	1457:XZ33P
UTWNWANU.518168	Tumor	1457:UTWNW
XBS5MA8H.517990	Tumor	1457:XBS5M
A8A34NCW.518023	Healthy	1457:A8A34
41E1KAMA.517991	Tumor	1457:41E1K
C0252.T.518006	Tumor	1457:C0252
C0342.T.518093	Tumor	1457:C0342
C0112.T.518024	Tumor	1457:C0112
YOTV6ASH.518142	Tumor	1457:YOTV6
C10.T.518056	Tumor	1457:C10
C0394.T.518064	Tumor	1457:C0394
C0333.T.518046	Tumor	1457:C0333
BFJMKAKB.518159	Tumor	1457:BFJMK
C0159.T.518087	Tumor	1457:C0159
C0271.T.518078	Tumor	1457:C0271
C0334.N.518066	Healthy	1457:C0334
MQE9ONGV.518038	Healthy	1457:MQE9O
C0333.N.518126	Healthy	1457:C0333
C0186.T.518019	Tumor	1457:C0186
C0334.T.518147	Tumor	1457:C0334
C1.T.518120	Tumor	1457:C1
41E1KNBP.517985	Healthy	1457:41E1K
C0322.T.518018	Tumor	1457:C0322
C0332.N.518027	Healthy	1457:C0332
C6.T.518061	Tumor	1457:C6
C0311.N.518124	Healthy	1457:C0311
C0211.N.518117	Healthy	1457:C0211
C0256.N.518170	Healthy	1457:C0256
C0270.N.518041	Healthy	1457:C0270
C0154.T.518091	Tumor	1457:C0154
C0308.T.518162	Tumor	1457:C0308
C0206.T.518053	Tumor	1457:C0206
C0209.N.517984	Healthy	1457:C0209
C0256.T.518080	Tumor	1457:C0256
C0275.N.518076	Healthy	1457:C0275
C1.S.518137	Healthy	1457:C1
UTWNWN3P.518012	Healthy	1457:UTWNW
C0235.T.518049	Tumor	1457:C0235
C0335.T.518115	Tumor	1457:C0335
C0235.N.517993	Healthy	1457:C0235
C0112.N.518001	Healthy	1457:C0112
C0315.T.518034	Tumor	1457:C0315
O436FNP3.518007	Healthy	1457:O436F
BFJMKNMP.518102	Healthy	1457:BFJMK
XBS5MNEH.518074	Healthy	1457:XBS5M
C0398.T.518092	Tumor	1457:C0398
